Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Share_Issued_2019,Stockholders_Equity_2019,Total_Debt_2019,Free_Cash_Flow_2019,Operating_Cash_Flow_2019,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019
,1986519278.0,1985273421.0,1981156896.0,,36686000000.0,35802000000.0,32784000000.0,,17716000000.0,19006000000.0,19649000000.0,,7804000000.0,8648000000.0,5724000000.0,,9581000000.0,10533000000.0,7901000000.0,,3.989538,4.008317,2.537784,,6933000000.0,7071000000.0,4495000000.0,,43653000000.0,43075000000.0,34608000000.0,ABT,1976855085.0,31088000000.0,18894000000.0,4498000000.0,6136000000.0,2.091911,3687000000.0,31904000000.0
,157455363.0,144987736.0,90842722.0,,136852000.0,169439000.0,101966000.0,,2187000.0,2614000.0,2983000.0,,-35356000.0,-67532000.0,-51441000.0,,-35356000.0,-67532000.0,-51441000.0,,-0.46,-0.83,-1.0,,-69456000.0,-76247000.0,-63745000.0,,39019000.0,10988000.0,6914000.0,ABUS,64780314.0,72744000.0,3358000.0,-71595000.0,-71006000.0,-2.89,-153723000.0,6011000.0
,3313266.0,2892632.0,24420526.0,,3098585.0,8843653.0,3438340.0,,3054891.0,3111899.0,6482945.0,,-7518083.0,-7615222.0,-4563919.0,,-7398391.0,-7597719.0,-4563919.0,,-5.2,-5.1,-5.0,,-16423239.0,-12838813.0,-9791164.0,,969783.0,355797.0,483045.0,ABVC,19478168.0,-150964.0,4579406.0,-3134526.0,-3134526.0,-2.1,-3641776.0,701719.0
,48400000.0,48300000.0,48200000.0,,2184400000.0,1953300000.0,1892200000.0,,550600000.0,679500000.0,254500000.0,,36300000.0,81400000.0,177800000.0,,174300000.0,166500000.0,259900000.0,,5.08,1.44,2.2,,245800000.0,69600000.0,106600000.0,,2242800000.0,2036400000.0,1935600000.0,ACA,48300000.0,1789900000.0,107300000.0,273400000.0,358800000.0,2.34,113300000.0,1736900000.0
,37500000.0,37500000.0,,,297918518.0,23207.0,,,,100277.0,,,-1184963.0,,,,-1184963.0,,,,0.02,,,,886918.0,,,,0.0,,,ACAB,,,,,,,,
,162064872.0,161012695.0,159637771.0,,400413000.0,540894000.0,627009000.0,,52695000.0,56126000.0,44460000.0,,-114035000.0,-126782000.0,-143753000.0,,-114035000.0,-125660000.0,-136166000.0,,-1.34,-1.05,-1.79,,-215975000.0,-167870000.0,-281584000.0,,517235000.0,484145000.0,441755000.0,ACAD,155275300.0,699135000.0,6361000.0,-152259000.0,-151130000.0,-1.6,-235259000.0,339076000.0
,43125000.0,43125000.0,38625000.0,,330798236.0,312300199.0,24000.0,,,62500.0,25050.0,,393036.0,-1521788.0,,,393036.0,-1521788.0,,,0.42,-0.27,,,17994321.0,-9716757.0,,,0.0,0.0,,ACAH,,,,,,,,
,297772238.0,198068923.0,115228811.0,,661843000.0,2037700000.0,2150806000.0,,269491000.0,399550000.0,531247000.0,,-142051000.0,-263659000.0,-692958000.0,,-109838000.0,-210577000.0,-337952000.0,,-7.99,-4.1,-33.94,,-1717624000.0,-693625000.0,-3310337000.0,,221339000.0,245252000.0,278906000.0,ACB,,,,,,,,
,6054000.0,6054000.0,6054000.0,,44907257.0,43823039.0,9194.0,,1366200.0,,,,-738523.0,-1071020.0,,,-738523.0,-1071020.0,,,0.16,-1.27,,,1084218.0,-1002595.0,,,0.0,0.0,,ACBA,,,,,,,,
73089075.0,67098477.0,55699052.0,46653451.0,473786000.0,855794000.0,390848000.0,-23773000.0,316796000.0,319741000.0,,72310000.0,-47933000.0,-65967000.0,-27597000.0,-37562000.0,-40705000.0,-62350000.0,-25232000.0,-34247000.0,-6.45,-1.93,-1.72,-1.483104,-459650000.0,-123124000.0,-50652000.0,-51365000.0,363142000.0,310021000.0,170358000.0,132507000.0,ACCD,,,,,,,,
