Share_Issued_2023,Share_Issued_2022,Share_Issued_2021,Share_Issued_2020,Share_Issued_2019,Stockholders_Equity_2023,Stockholders_Equity_2022,Stockholders_Equity_2021,Stockholders_Equity_2020,Stockholders_Equity_2019,Total_Debt_2023,Total_Debt_2022,Total_Debt_2021,Total_Debt_2020,Total_Debt_2019,Free_Cash_Flow_2023,Free_Cash_Flow_2022,Free_Cash_Flow_2021,Free_Cash_Flow_2020,Free_Cash_Flow_2019,Operating_Cash_Flow_2023,Operating_Cash_Flow_2022,Operating_Cash_Flow_2021,Operating_Cash_Flow_2020,Operating_Cash_Flow_2019,Basic_EPS_2023,Basic_EPS_2022,Basic_EPS_2021,Basic_EPS_2020,Net_Income_2023,Net_Income_2022,Net_Income_2021,Net_Income_2020,Total_Revenue_2023,Total_Revenue_2022,Total_Revenue_2021,Total_Revenue_2020,ticker,Basic_EPS_2019,Net_Income_2019,Total_Revenue_2019,Share_Issued_2024,Stockholders_Equity_2024,Total_Debt_2024,Free_Cash_Flow_2024,Operating_Cash_Flow_2024,Basic_EPS_2024,Net_Income_2024,Total_Revenue_2024
591900000.0,588250762.0,583289850.0,579000841.0,,18353000000.0,12910000000.0,13545896000.0,13105886000.0,,2726000000.0,2725000000.0,2724394000.0,3016800000.0,,5697000000.0,3766000000.0,3384000000.0,2846633000.0,,5749000000.0,3816000000.0,3425000000.0,2886505000.0,,11.94,3.9,5.34,3.38,4443000000.0,1476000000.0,2157000000.0,1405521000.0,13294000000.0,9657000000.0,8924000000.0,8291786000.0,ACGL,,,,,,,,,,,
91263989.0,89913659.0,89028158.0,88024395.0,,2781974000.0,2812727000.0,2517489000.0,1899456000.0,,1499833000.0,1529673000.0,1638399000.0,3257559000.0,,38207000.0,84420000.0,129666000.0,433843000.0,,462340000.0,380569000.0,374477000.0,658807000.0,,-0.24,3.05,2.15,-7.65,-21667000.0,273139000.0,190635000.0,-672132000.0,2928738000.0,2610399000.0,2314394000.0,2089929000.0,ACHC,,,,,,,,,,,
41082948.0,40932727.0,40603489.0,40621751.0,,142369000.0,197044000.0,289528000.0,189372000.0,,4615000.0,8576000.0,12259000.0,15983000.0,,-49549000.0,-67047000.0,-66918000.0,-37099000.0,,-48449000.0,-59535000.0,-59284000.0,-25252000.0,,-1.74,-1.82,-2.13,-0.817272,-69665000.0,-71176000.0,-61099000.0,-33199000.0,0.0,0.0,0.0,0.0,ACHL,,,,,,,,,,,
303782956.0,241638935.0,237727536.0,236889750.0,,367100000.0,493300000.0,698900000.0,35900000.0,,23200000.0,22200000.0,23100000.0,3200000.0,,-315900000.0,-207300000.0,-111900000.0,-24700000.0,,-271600000.0,-200400000.0,-108400000.0,-22800000.0,,-1.69,-1.32,-3.14,-0.103061,-457900000.0,-317300000.0,-347800000.0,-24800000.0,0.0,0.0,0.0,0.0,ACHR,,,,,,,,,,,
21165760.0,17897029.0,9453542.0,6111735.0,,-1448000.0,8303000.0,28042000.0,37286000.0,,16731000.0,16198000.0,14993000.0,169000.0,,-24500000.0,-37569000.0,-29440000.0,-13491000.0,,-24479000.0,-37569000.0,-29440000.0,-13474000.0,,-1.5,-4.0,-4.08,-5.42,-29815000.0,-42350000.0,-33152000.0,-14730000.0,0.0,0.0,0.0,0.0,ACHV,,,,,,,,,,,
590968600.0,587904283.0,585574666.0,,,1656400000.0,3705700000.0,2168600000.0,,,14961100000.0,14025600000.0,14466900000.0,,,700000000.0,1906900000.0,2272300000.0,,,2853900000.0,3513400000.0,3902500000.0,,,2.29,2.73,1.53,,1513500000.0,1619600000.0,850200000.0,,77649700000.0,71887000000.0,69690400000.0,,ACI,,,,594445268.0,2747500000.0,14239400000.0,628200000.0,2659500000.0,2.25,1296000000.0,79237700000.0
46989089.0,43492256.0,43582525.0,43287960.0,,168765000.0,-182039000.0,312406000.0,395753000.0,,149464000.0,150044000.0,158495000.0,160352000.0,,-136199000.0,-176160000.0,-300662000.0,-21319000.0,,-136003000.0,-173113000.0,-295391000.0,-10471000.0,,7.11,-10.91,-1.35,-2.25,309911000.0,-469855000.0,-57919000.0,-96454000.0,286543000.0,269791000.0,228685000.0,846656000.0,ACIC,,,,,,,,,,,
104441787.0,89834385.0,89700630.0,76936738.0,,160643000.0,168991000.0,231979000.0,215478000.0,,3497000.0,2801000.0,2910000.0,2223000.0,,-61209000.0,-74807000.0,-68324000.0,-61223000.0,,-60408000.0,-73568000.0,-65689000.0,-59517000.0,,-0.64,-0.85,-0.97,-0.86,-54233000.0,-70753000.0,-72996000.0,-61921000.0,14801000.0,3935000.0,0.0,15431000.0,ACIU,,,,,,,,,,,
140525055.0,140525055.0,140525055.0,140525055.0,,1324297000.0,1193187000.0,1244777000.0,1206597000.0,,1076426000.0,1135000000.0,1120606000.0,1208403000.0,,130740000.0,103488000.0,175105000.0,268262000.0,,168517000.0,143381000.0,220473000.0,314895000.0,,1.12,1.25,1.09,0.62,121509000.0,142177000.0,127791000.0,72660000.0,1452579000.0,1421901000.0,1370598000.0,1294322000.0,ACIW,,,,,,,,,,,
32685000.0,32775000.0,33240000.0,33633000.0,,864882000.0,667256000.0,538959000.0,481602000.0,,45185000.0,46414000.0,47394000.0,48149000.0,,136213000.0,204924000.0,141472000.0,62269000.0,,156869000.0,215607000.0,150190000.0,69703000.0,,7.52,5.54,2.94,1.5,246263000.0,183079000.0,98650000.0,49982000.0,1130604000.0,919998000.0,662428000.0,474560000.0,ACLS,,,,,,,,,,,
52280077.0,44105981.0,33543534.0,33543534.0,,485380000.0,204954000.0,-121515000.0,-63720000.0,,97625000.0,88131000.0,0.0,,,186145000.0,-101580000.0,-60021000.0,-29550000.0,,207573000.0,-99303000.0,-54238000.0,-28662000.0,,-1.47,-5.19,-1.936856,-1.47384,-70690000.0,-188679000.0,-64969000.0,-32095000.0,110319000.0,0.0,0.0,0.0,ACLX,,,,,,,,,,,
136210883.0,138933907.0,143168815.0,157044687.0,,2212332000.0,2476654000.0,2712470000.0,3292558000.0,,2751674000.0,2800600000.0,2890637000.0,2807297000.0,,590380000.0,576619000.0,568408000.0,215031000.0,,695980000.0,713636000.0,704670000.0,329622000.0,,0.4,2.21,1.18,-1.17,55332000.0,310611000.0,173185000.0,-186370000.0,14378461000.0,13148182000.0,13340852000.0,13239976000.0,ACM,,,,,,,,,,,
